,Date,Open,High,Low,Close,Adj Close,Volume
2810,2022/6/11,29084.66602,29401.91602,28236.21289,28360.81055,28360.81055,27246574439.0
2811,2022/6/12,28373.51367,28502.68555,26762.64844,26762.64844,26762.64844,34163220274.0
2812,2022/6/13,26737.57813,26795.58984,22141.25781,22487.38867,22487.38867,68204556440.0
2813,2022/6/14,22487.98633,23018.95117,20950.81836,22206.79297,22206.79297,50913575242.0
2814,2022/6/15,22196.73047,22642.67188,20178.37695,22572.83984,22572.83984,54912007015.0
2815,2022/6/16,22576.30469,22868.92188,20265.22656,20381.65039,20381.65039,31183975654.0
2816,2022/6/17,20385.71875,21243.3125,20326.51953,20471.48242,20471.48242,27132421514.0
2817,2022/6/18,20473.42578,20736.04102,17708.62305,19017.64258,19017.64258,42009436760.0
2818,2022/6/19,19010.90234,20683.82227,18067.15234,20553.27148,20553.27148,35329942625.0
2819,2022/6/20,20553.37109,20913.32227,19689.16992,20599.53711,20599.53711,30818458597.0
2820,2022/6/21,20594.29492,21620.62891,20415.0625,20710.59766,20710.59766,28970212744.0
2821,2022/6/22,20719.41406,20835.75,19848.07813,19987.0293,19987.0293,28574793478.0
2822,2022/6/23,19986.60742,21135.76172,19950.11719,21085.87695,21085.87695,26188097173.0
2823,2022/6/24,21084.64844,21472.91797,20777.51172,21231.65625,21231.65625,24957784918.0
2824,2022/6/25,21233.60938,21520.91406,20964.58594,21502.33789,21502.33789,18372538715.0
2825,2022/6/26,21496.49414,21783.72461,21016.26953,21027.29492,21027.29492,18027170497.0
2826,2022/6/27,21028.23828,21478.08984,20620.19922,20735.47852,20735.47852,20965695707.0
2827,2022/6/28,20731.54492,21164.42383,20228.8125,20280.63477,20280.63477,21381535161.0
2828,2022/6/29,20281.16992,20364.15625,19937.79102,20104.02344,20104.02344,23552740328.0
2829,2022/6/30,20108.3125,20141.16016,18729.65625,19784.72656,19784.72656,26267239923.0
2830,2022/7/1,19820.4707,20632.67188,19073.70898,19269.36719,19269.36719,30767551159.0
2831,2022/7/2,19274.83594,19371.74805,19027.08203,19242.25586,19242.25586,18100418740.0
2832,2022/7/3,19242.0957,19558.26953,18966.95117,19297.07617,19297.07617,16390821947.0
2833,2022/7/4,19297.31445,20258.74805,19063.06641,20231.26172,20231.26172,21594638208.0
2834,2022/7/5,20225.35352,20635.4668,19341.23242,20190.11523,20190.11523,26715546990.0
2835,2022/7/6,20194.61914,20595.5293,19823.51172,20548.24609,20548.24609,24598943708.0
2836,2022/7/7,20547.81445,21771.81641,20296.10352,21637.58789,21637.58789,25814972520.0
2837,2022/7/8,21637.1543,22314.94141,21257.45313,21731.11719,21731.11719,49899834488.0
2838,2022/7/9,21716.82813,21877.13867,21445.95703,21592.20703,21592.20703,29641127858.0
2839,2022/7/10,21591.08008,21591.08008,20727.12305,20860.44922,20860.44922,28688807249.0
2840,2022/7/11,20856.35352,20856.35352,19924.53906,19970.55664,19970.55664,24150249025.0
2841,2022/7/12,19970.47461,20043.44531,19308.53125,19323.91406,19323.91406,25810220018.0
2842,2022/7/13,19325.97266,20223.05273,18999.95313,20212.07422,20212.07422,33042430345.0
2843,2022/7/14,20211.4668,20789.89453,19689.25781,20569.91992,20569.91992,31158743333.0
2844,2022/7/15,20573.15625,21138.24414,20397.0,20836.32813,20836.32813,25905575359.0
2845,2022/7/16,20834.10352,21514.4043,20518.89844,21190.31641,21190.31641,24302954056.0
2846,2022/7/17,21195.04102,21600.64063,20778.17969,20779.34375,20779.34375,22927802083.0
2847,2022/7/18,20781.91211,22633.0332,20781.91211,22485.68945,22485.68945,39974475562.0
2848,2022/7/19,22467.84961,23666.96289,21683.40625,23389.43359,23389.43359,48765202697.0
2849,2022/7/20,23393.19141,24196.81836,23009.94922,23231.73242,23231.73242,42932549127.0
2850,2022/7/21,23233.20117,23388.32227,22431.14844,23164.62891,23164.62891,33631012204.0
2851,2022/7/22,23163.75195,23671.92773,22603.41602,22714.97852,22714.97852,31421555646.0
2852,2022/7/23,22706.98438,22977.21094,22002.91016,22465.47852,22465.47852,24021799169.0
2853,2022/7/24,22465.50977,22974.00195,22306.83984,22609.16406,22609.16406,23565495303.0
2854,2022/7/25,22607.15625,22649.12109,21361.64258,21361.70117,21361.70117,35574561406.0
2855,2022/7/26,21361.12109,21361.12109,20776.81641,21239.75391,21239.75391,28624673855.0
2856,2022/7/27,21244.16992,22986.5293,21070.80664,22930.54883,22930.54883,31758955233.0
2857,2022/7/28,22933.64063,24110.4707,22722.26563,23843.88672,23843.88672,40212386158.0
2858,2022/7/29,23845.21289,24294.78711,23481.17383,23804.63281,23804.63281,35887249746.0
2859,2022/7/30,23796.81836,24572.58008,23580.50781,23656.20703,23656.20703,28148218301.0
2860,2022/7/31,23652.07031,24121.64258,23275.70313,23336.89648,23336.89648,23553591896.0
2861,2022/8/1,23336.71875,23464.78711,22890.79688,23314.19922,23314.19922,25849159141.0
2862,2022/8/2,23308.43359,23415.04102,22710.08398,22978.11719,22978.11719,28389250717.0
2863,2022/8/3,22981.30273,23578.65039,22747.83594,22846.50781,22846.50781,26288169966.0
2864,2022/8/4,22848.21484,23198.00977,22485.70117,22630.95703,22630.95703,25120229769.0
2865,2022/8/5,22626.83398,23422.82813,22612.17773,23289.31445,23289.31445,28881249043.0
2866,2022/8/6,23291.42383,23326.5625,22961.2793,22961.2793,22961.2793,15978259885.0
2867,2022/8/7,22963.50586,23359.00977,22894.55664,23175.89063,23175.89063,15886817043.0
2868,2022/8/8,23179.52734,24203.68945,23176.54688,23809.48633,23809.48633,28575544847.0
2869,2022/8/9,23811.48438,23898.61523,22982.0,23164.31836,23164.31836,23555719219.0
2870,2022/8/10,23162.89844,24127.41406,22771.51953,23947.64258,23947.64258,32837431722.0
2871,2022/8/11,23948.3457,24822.62891,23900.99609,23957.5293,23957.5293,37127036580.0
2872,2022/8/12,23957.20313,24412.56641,23657.26563,24402.81836,24402.81836,27265804688.0
2873,2022/8/13,24402.1875,24860.05078,24346.11523,24424.06836,24424.06836,22987346289.0
2874,2022/8/14,24429.05664,24974.91406,24206.25977,24319.33398,24319.33398,22994133555.0
2875,2022/8/15,24318.31641,25135.58984,23839.77539,24136.97266,24136.97266,35123501685.0
2876,2022/8/16,24126.13672,24228.41602,23733.5,23883.29102,23883.29102,27753685646.0
2877,2022/8/17,23881.31641,24407.05859,23243.35352,23335.99805,23335.99805,30931623076.0
2878,2022/8/18,23341.03906,23563.83203,23177.60156,23212.73828,23212.73828,23747613147.0
2879,2022/8/19,23213.3125,23213.3125,20868.84766,20877.55273,20877.55273,40509610260.0
2880,2022/8/20,20872.8418,21350.80664,20856.73047,21166.06055,21166.06055,27595671000.0
2881,2022/8/21,21160.39258,21668.8457,21103.19727,21534.12109,21534.12109,23102307723.0
2882,2022/8/22,21531.46289,21531.46289,20939.18359,21398.9082,21398.9082,31666498758.0
2883,2022/8/23,21401.04492,21646.20313,20955.13867,21528.08789,21528.08789,31878280659.0
2884,2022/8/24,21526.45508,21783.07617,21195.00586,21395.01953,21395.01953,31962253368.0
2885,2022/8/25,21395.45898,21789.63672,21362.44141,21600.9043,21600.9043,31028679593.0
2886,2022/8/26,21596.08594,21804.9082,20199.48242,20260.01953,20260.01953,42326789564.0
2887,2022/8/27,20262.48047,20340.77539,19890.52344,20041.73828,20041.73828,30116729776.0
2888,2022/8/28,20041.03516,20139.05469,19616.81445,19616.81445,19616.81445,24366810591.0
2889,2022/8/29,19615.1543,20357.46289,19600.78516,20297.99414,20297.99414,32637854078.0
2890,2022/8/30,20298.61133,20542.64453,19617.64063,19796.80859,19796.80859,34483360283.0
2891,2022/8/31,19799.58203,20420.99023,19799.58203,20049.76367,20049.76367,33225232872.0
2892,2022/9/1,20050.49805,20198.39063,19653.96875,20127.14063,20127.14063,30182031010.0
2893,2022/9/2,20126.07227,20401.56836,19814.76563,19969.77148,19969.77148,29123998928.0
2894,2022/9/3,19969.71875,20037.00977,19698.35547,19832.08789,19832.08789,23613051457.0
2895,2022/9/4,19832.4707,19999.68945,19636.81641,19986.71289,19986.71289,25245861652.0
2896,2022/9/5,19988.78906,20031.16016,19673.04688,19812.37109,19812.37109,28813460025.0
2897,2022/9/6,19817.72461,20155.26953,18800.17188,18837.66797,18837.66797,43403978910.0
2898,2022/9/7,18837.68359,19427.17188,18644.4668,19290.32422,19290.32422,35239757134.0
2899,2022/9/8,19289.94141,19417.35156,19076.71484,19329.83398,19329.83398,32194477850.0
2900,2022/9/9,19328.14063,21439.41016,19310.96289,21381.15234,21381.15234,48469528171.0
2901,2022/9/10,21376.91211,21760.27539,21168.72266,21680.53906,21680.53906,36913738894.0
2902,2022/9/11,21678.54297,21770.55273,21406.94531,21769.25586,21769.25586,34493951963.0
2903,2022/9/12,21770.14844,22439.18164,21603.89648,22370.44922,22370.44922,50212088965.0
2904,2022/9/13,22371.48047,22673.82031,20062.66992,20296.70703,20296.70703,51091116622.0
2905,2022/9/14,20184.55469,20467.20117,19793.39648,20241.08984,20241.08984,37872380889.0
2906,2022/9/15,20242.28906,20318.16602,19636.73438,19701.21094,19701.21094,36389011503.0
2907,2022/9/16,19704.00586,19870.62891,19400.07617,19772.58398,19772.58398,30123362273.0
2908,2022/9/17,19777.0332,20162.53125,19777.0332,20127.57617,20127.57617,24957448100.0
2909,2022/9/18,20127.23438,20127.23438,19387.49219,19419.50586,19419.50586,31254779144.0
2910,2022/9/19,19418.57227,19639.48047,18390.31836,19544.12891,19544.12891,40177002624.0
2911,2022/9/20,19545.5918,19602.45703,18813.45508,18890.78906,18890.78906,36791346508.0
2912,2022/9/21,18891.2832,19674.63086,18290.31445,18547.40039,18547.40039,46363793975.0
2913,2022/9/22,18534.65039,19456.91016,18415.5918,19413.55078,19413.55078,41135767926.0
2914,2022/9/23,19412.40039,19464.67188,18617.55273,19297.63867,19297.63867,38896078052.0
2915,2022/9/24,19296.99023,19310.19727,18861.97461,18937.01172,18937.01172,26149643168.0
2916,2022/9/25,18936.31055,19134.73242,18696.46875,18802.09766,18802.09766,23359966112.0
2917,2022/9/26,18803.90039,19274.87305,18721.28516,19222.67188,19222.67188,44148798321.0
2918,2022/9/27,19221.83984,20338.45508,18915.66797,19110.54688,19110.54688,58571439619.0
2919,2022/9/28,19104.62109,19688.34375,18553.29688,19426.7207,19426.7207,53071298734.0
2920,2022/9/29,19427.7793,19589.26563,18924.35352,19573.05078,19573.05078,41037843771.0
2921,2022/9/30,19573.43164,20109.84961,19265.66211,19431.78906,19431.78906,43975248085.0
2922,2022/10/1,19431.10547,19471.1543,19231.08203,19312.0957,19312.0957,18719537670.0
2923,2022/10/2,19311.84961,19370.30859,18970.62109,19044.10742,19044.10742,20765955327.0
2924,2022/10/3,19044.06836,19653.54297,19025.22656,19623.58008,19623.58008,30484729489.0
2925,2022/10/4,19623.58398,20380.34375,19523.83984,20336.84375,20336.84375,35887278685.0
2926,2022/10/5,20335.90039,20343.74805,19801.80078,20160.7168,20160.7168,33223790572.0
2927,2022/10/6,20161.03906,20408.39258,19900.08789,19955.44336,19955.44336,34711412966.0
2928,2022/10/7,19957.55859,20041.08594,19395.79297,19546.84961,19546.84961,29227315390.0
2929,2022/10/8,19546.32813,19601.69531,19299.41406,19416.56836,19416.56836,16437423167.0
2930,2022/10/9,19417.47852,19542.53906,19349.25977,19446.42578,19446.42578,16837262532.0
2931,2022/10/10,19446.41602,19515.4668,19102.97852,19141.48438,19141.48438,27425022774.0
2932,2022/10/11,19139.0,19241.96094,18925.60352,19051.41797,19051.41797,28711532910.0
2933,2022/10/12,19052.64648,19203.19922,19029.75781,19157.44531,19157.44531,24950173846.0
2934,2022/10/13,19156.9668,19453.32813,18319.82227,19382.9043,19382.9043,44219840004.0
2935,2022/10/14,19382.5332,19889.14648,19115.4082,19185.65625,19185.65625,38452356727.0
2936,2022/10/15,19185.4375,19212.54102,19019.25,19067.63477,19067.63477,16192235532.0
2937,2022/10/16,19068.91406,19389.60352,19068.91406,19268.09375,19268.09375,17988916650.0
2938,2022/10/17,19268.5625,19635.80273,19173.33398,19550.75781,19550.75781,27472552998.0
2939,2022/10/18,19550.4668,19666.99414,19144.76953,19334.41602,19334.41602,30580012344.0
2940,2022/10/19,19335.02734,19348.41602,19127.6875,19139.53516,19139.53516,22425387184.0
2941,2022/10/20,19138.08594,19315.19922,18971.45898,19053.74023,19053.74023,24493974420.0
2942,2022/10/21,19053.20313,19237.38477,18770.9707,19172.46875,19172.46875,32459287866.0
2943,2022/10/22,19172.38086,19248.06836,19132.24414,19208.18945,19208.18945,16104440957.0
2944,2022/10/23,19207.73438,19646.65234,19124.19727,19567.00781,19567.00781,22128794335.0
2945,2022/10/24,19567.76953,19589.125,19206.32422,19345.57227,19345.57227,30202235805.0
2946,2022/10/25,19344.96484,20348.41211,19261.44727,20095.85742,20095.85742,47761524910.0
2947,2022/10/26,20092.23633,20938.13477,20076.11719,20770.44141,20770.44141,58895950537.0
2948,2022/10/27,20772.80273,20854.04492,20255.37305,20285.83594,20285.83594,49625110402.0
2949,2022/10/28,20287.95703,20724.98047,20086.06836,20595.35156,20595.35156,43994715910.0
2950,2022/10/29,20595.10352,20988.39453,20566.48438,20818.47656,20818.47656,40369840645.0
2951,2022/10/30,20817.98242,20917.00586,20547.46289,20635.60352,20635.60352,31486345556.0
2952,2022/10/31,20633.69531,20795.32031,20287.45898,20495.77344,20495.77344,45668466815.0
2953,2022/11/1,20494.89844,20647.28906,20359.8457,20485.27344,20485.27344,39819303159.0
2954,2022/11/2,20482.95898,20742.81055,20087.13477,20159.50391,20159.50391,55552169483.0
2955,2022/11/3,20162.68945,20382.0957,20086.24023,20209.98828,20209.98828,43228750179.0
2956,2022/11/4,20208.76953,21209.56055,20188.01953,21147.23047,21147.23047,64072727950.0
2957,2022/11/5,21144.83203,21446.88672,21097.63477,21282.69141,21282.69141,37846047609.0
2958,2022/11/6,21285.05664,21345.37695,20920.19141,20926.48633,20926.48633,35082693210.0
2959,2022/11/7,20924.62109,21053.24609,20489.97266,20602.81641,20602.81641,53510852236.0
2960,2022/11/8,20600.67188,20664.60742,17603.54492,18541.27148,18541.27148,118992000000.0
2961,2022/11/9,18543.76172,18590.45898,15682.69238,15880.78027,15880.78027,102905000000.0
2962,2022/11/10,15883.1582,18054.3125,15834.01856,17586.77148,17586.77148,83202283721.0
2963,2022/11/11,17583.25195,17650.94336,16543.48242,17034.29297,17034.29297,55871616488.0
2964,2022/11/12,17036.875,17066.67578,16651.77539,16799.18555,16799.18555,29717699419.0
2965,2022/11/13,16799.72266,16920.76563,16320.63477,16353.36523,16353.36523,27209183682.0
2966,2022/11/14,16352.02832,17109.32422,15872.94141,16618.19922,16618.19922,49630243054.0
2967,2022/11/15,16617.48438,17051.96289,16542.55078,16884.61328,16884.61328,36599436183.0
2968,2022/11/16,16884.3418,16960.29492,16430.11133,16669.43945,16669.43945,33925512989.0
2969,2022/11/17,16670.42578,16726.43945,16460.68359,16687.51758,16687.51758,27868914022.0
2970,2022/11/18,16687.91211,16947.05859,16564.61133,16697.77734,16697.77734,26862218609.0
2971,2022/11/19,16696.2207,16797.87695,16570.41016,16711.54688,16711.54688,16106223492.0
2972,2022/11/20,16712.91992,16746.7793,16248.69238,16291.83203,16291.83203,21313378652.0
2973,2022/11/21,16291.22363,16291.22363,15599.04688,15787.28418,15787.28418,37429485518.0
2974,2022/11/22,15782.30078,16253.04785,15656.60645,16189.76953,16189.76953,30726828760.0
2975,2022/11/23,16195.58887,16638.19336,16170.50293,16610.70703,16610.70703,32958875628.0
2976,2022/11/24,16611.63672,16771.47461,16501.76758,16604.46484,16604.46484,26129037414.0
2977,2022/11/25,16602.26953,16603.31641,16388.4043,16521.8418,16521.8418,18678255976.0
2978,2022/11/26,16521.57617,16666.86328,16416.22852,16464.28125,16464.28125,18000008764.0
2979,2022/11/27,16463.88281,16594.40625,16437.02539,16444.62695,16444.62695,20443898509.0
2980,2022/11/28,16440.22266,16482.93359,16054.53027,16217.32227,16217.32227,27743025156.0
2981,2022/11/29,16217.63965,16522.25781,16139.39648,16444.98242,16444.98242,23581685468.0
2982,2022/11/30,16445.47656,17190.9375,16445.47656,17168.56641,17168.56641,29523576583.0
2983,2022/12/1,17168.00195,17197.49805,16888.38867,16967.13281,16967.13281,22895392882.0
2984,2022/12/2,16968.68359,17088.66016,16877.88086,17088.66016,17088.66016,19539705127.0
2985,2022/12/3,17090.09766,17116.04102,16888.14063,16908.23633,16908.23633,16217776704.0
2986,2022/12/4,16908.16992,17157.76758,16903.43945,17130.48633,17130.48633,16824520830.0
2987,2022/12/5,17128.89453,17378.15234,16922.43164,16974.82617,16974.82617,22209086834.0
2988,2022/12/6,16975.23828,17091.86328,16939.92188,17089.50391,17089.50391,19889922369.0
2989,2022/12/7,17089.50586,17109.37695,16750.55859,16848.12695,16848.12695,19675404389.0
2990,2022/12/8,16847.34961,17267.91602,16788.7832,17233.47461,17233.47461,20496603770.0
2991,2022/12/9,17232.14844,17280.54688,17100.83594,17133.15234,17133.15234,20328426366.0
2992,2022/12/10,17134.2207,17216.82617,17120.68359,17128.72461,17128.72461,12706781969.0
2993,2022/12/11,17129.71094,17245.63477,17091.82031,17104.19336,17104.19336,14122486832.0
2994,2022/12/12,17102.5,17212.56445,16899.39453,17206.4375,17206.4375,19617581341.0
2995,2022/12/13,17206.44141,17930.08594,17111.76367,17781.31836,17781.31836,26634741631.0
2996,2022/12/14,17782.06641,18318.53125,17739.51367,17815.65039,17815.65039,25534481470.0
2997,2022/12/15,17813.64453,17846.74414,17322.58984,17364.86523,17364.86523,20964448341.0
2998,2022/12/16,17364.54688,17505.52539,16584.70117,16647.48438,16647.48438,24031608960.0
2999,2022/12/17,16646.98242,16800.58984,16614.0293,16795.0918,16795.0918,14463581825.0
3000,2022/12/18,16795.60938,16815.38672,16697.82031,16757.97656,16757.97656,10924354698.0
3001,2022/12/19,16759.04102,16807.52734,16398.13672,16439.67969,16439.67969,17221074814.0
3002,2022/12/20,16441.78711,17012.98438,16427.86719,16906.30469,16906.30469,22722096615.0
3003,2022/12/21,16904.52734,16916.80078,16755.91211,16817.53516,16817.53516,14882945045.0
3004,2022/12/22,16818.38086,16866.67383,16592.4082,16830.3418,16830.3418,16441573050.0
3005,2022/12/23,16829.64453,16905.21875,16794.45898,16796.95313,16796.95313,15329265213.0
3006,2022/12/24,16796.97656,16864.70313,16793.52734,16847.75586,16847.75586,9744636213.0
3007,2022/12/25,16847.50586,16860.55469,16755.25391,16841.98633,16841.98633,11656379938.0
3008,2022/12/26,16842.25,16920.12305,16812.36914,16919.80469,16919.80469,11886957804.0
3009,2022/12/27,16919.29102,16959.8457,16642.07227,16717.17383,16717.17383,15748580239.0
3010,2022/12/28,16716.40039,16768.16992,16497.55664,16552.57227,16552.57227,17005713920.0
3011,2022/12/29,16552.32227,16651.75586,16508.68359,16642.3418,16642.3418,14472237479.0
3012,2022/12/30,16641.33008,16643.42773,16408.47461,16602.58594,16602.58594,15929162910.0
3013,2022/12/31,16603.67383,16628.98633,16517.51953,16547.49609,16547.49609,11239186456.0
3014,2023/1/1,16547.91406,16630.43945,16521.23438,16625.08008,16625.08008,9244361700.0
